organization,cohort date,nurse id,deid_names,employment start date,type of unit,age,gender,education,nursing degree received,gpa,employment status,leave,termination,termination date,termination reason,id,tenure
Emory University Hospital Midtown,8/8/2025 0:00,480100,13696,8/4/2025 0:00,Medical/Surgical Inpatient Unit,23,Female,Albany State University,BSN,3.75,Full-time,No,No,,,20576,0.638356164
Emory University Hospital Midtown,10/24/2025 0:00,471803,12881,11/17/2025 0:00,Cardiac/Heart/Vascular Critical Care,51,Female,Abraham Baldwin Agricultural College,ADN/ASN,3.476965558,Full-time,No,No,,,18561,0.350684932
Emory Saint Joseph's Hospital,10/2/2025 0:00,2602393,13698,9/29/2025 0:00,Medical/Surgical Inpatient Unit,25,Female,Abraham Baldwin Agricultural College,ADN/ASN,3.245,Full-time,No,No,,,20577,0.484931507
Emory Saint Joseph's Hospital,7/18/2022 0:00,456040,13699,8/1/2022 0:00,Orthopedic Inpatient Unit,29,Female,Abraham Baldwin Agricultural College,ADN/ASN,3.245,,No,Yes,1/13/2023 0:00,Unsatisfactory performance,20578,0.452054795
Emory Decatur Hospital,10/11/2022 0:00,458925,13700,10/10/2022 0:00,Emergency Department,25,Female,Abraham Baldwin Agricultural College,ADN/ASN,2.745,Full-time,No,Yes,12/23/2023 0:00,Travel Nurse,20579,1.202739726
Emory Decatur Hospital,8/2/2022 0:00,429200,13701,7/25/2022 0:00,Neonatal ICU Inpatient Unit,43,Female,Abraham Baldwin Agricultural College,ADN/ASN,2.745,,No,No,,,20580,3.668493151
Emory University Hospital,4/27/2022 0:00,453442,13702,4/4/2022 0:00,Emergency Department,26,Female,Abraham Baldwin Agricultural College,ADN/ASN,2.745,,No,No,,,20581,3.975342466
Emory Johns Creek Hospital,7/22/2019 0:00,958334,13703,7/15/2019 0:00,Medical/Surgical ICU Inpatient Unit,32,Female,Abraham Baldwin Agricultural College,ADN/ASN,2.745,,No,Yes,12/13/2020 0:00,Compensation/pay,20582,1.416438356
Emory University Hospital,7/19/2017 0:00,4033680,13704,,Ambulatory Setting,38,Female,Abraham Baldwin Agricultural College,ADN/ASN,3.245,,No,No,,,20583,
Emory University Hospital,2/25/2017 0:00,564591,13705,,Ambulatory Setting,39,Female,Abraham Baldwin Agricultural College,ADN/ASN,3.245,,No,No,,,20584,
Emory Johns Creek Hospital,7/10/2025 0:00,453145,13706,7/7/2025 0:00,Medical/Surgical Inpatient Unit,36,Female,Accelerated Bsn,BSN,3.75,Full-time,No,No,,,20585,0.715068493
Emory University Hospital,7/30/2018 0:00,42285,13707,,Other (please specify),32,Female,Adventist U of Health Sciences,BSN,3.245,,No,No,,,20586,
Emory University Hospital,3/17/2014 0:00,31790,13708,,General Medical Inpatient Unit,24,Female,Armstong State University,BSN,3.245,,No,No,,,20587,
Emory Decatur Hospital,8/19/2025 0:00,479947,13709,8/11/2025 0:00,Rehabilitation Inpatient Unit,21,Female,Albany State University,BSN,3.245,Full-time,No,No,,,20588,0.619178082
Emory University Hospital Midtown,8/8/2025 0:00,480010,13710,8/4/2025 0:00,Medical/Surgical Inpatient Unit,23,Female,Albany State University,BSN,3.75,Full-time,No,No,,,20589,0.638356164
Emory University Hospital,10/14/2022 0:00,457429,13711,11/7/2022 0:00,Orthopedic Inpatient Unit,27,Male,Albany State University,BSN,3.245,,No,Yes,9/20/2023 0:00,Obtained position with a more desirable commute,20590,0.868493151
Emory University Hospital Midtown,4/4/2025 0:00,476552,13712,3/17/2025 0:00,Emergency Department,30,Female,Albany State University,ADN/ASN,3.245,Full-time,No,No,,,20591,1.021917808
Emory University Hospital Midtown,4/4/2025 0:00,476852,13713,3/31/2025 0:00,Medical/Surgical Intermediate Unit,26,Female,Albany State University,ADN/ASN,3.245,Full-time,No,No,,,20592,0.983561644
Emory University Hospital Midtown,4/4/2025 0:00,477358,13714,5/2/2025 0:00,Neurology Inpatient Unit,40,Female,Albany State University,ADN/ASN,2.745,Full-time,No,No,,,20593,0.895890411
Emory Decatur Hospital,4/1/2025 0:00,476503,13715,3/24/2025 0:00,Emergency Department,22,Male,Albany State University,ADN/ASN,3.245,Full-time,No,No,,,20594,1.002739726
Emory Decatur Hospital,4/1/2025 0:00,476508,13716,3/17/2025 0:00,Emergency Department,24,Female,Albany State University,ADN/ASN,3.245,Full-time,No,No,,,20595,1.021917808
The Emory Clinic,3/10/2025 0:00,464044,13717,2/2/2025 0:00,Ambulatory Setting,40,Female,Albany State University,ADN/ASN,3.245,Full-time,No,No,,,20596,1.139726027
Emory University Hospital,10/28/2024 0:00,448283,13718,10/14/2024 0:00,Medical/Surgical Intermediate Unit,26,Female,Albany State University,ADN/ASN,3.245,Full-time,No,No,,,20597,1.443835616
Emory University Hospital,10/28/2024 0:00,465066,13719,10/14/2024 0:00,Transplant Unit,24,Female,Albany State University,BSN,3.245,Full-time,No,No,,,20598,1.443835616
Emory University Hospital,10/28/2024 0:00,474441,13720,10/21/2024 0:00,General Medical Inpatient Unit,23,Female,Albany State University,ADN/ASN,3.245,Full-time,No,No,,,20599,1.424657534
Emory University Hospital Midtown,10/25/2024 0:00,448683,13721,10/15/2024 0:00,Emergency Department,24,Female,Albany State University,ADN/ASN,3.245,Full-time,No,No,,,20600,1.44109589
Emory University Hospital Midtown,10/25/2024 0:00,472184,13722,11/18/2024 0:00,General Medical Inpatient Unit,38,Female,Albany State University,ADN/ASN,2.745,Full-time,No,No,,,20601,1.347945205
Emory University Hospital Midtown,10/25/2024 0:00,474495,13723,10/14/2024 0:00,Emergency Department,27,Female,Albany State University,ADN/ASN,2.745,Full-time,No,No,,,20602,1.443835616
Emory University Hospital Midtown,10/25/2024 0:00,2138731,13724,10/14/2024 0:00,General Medical Inpatient Unit,28,Female,Albany State University,ADN/ASN,3.75,Full-time,No,No,,,20603,1.443835616
Emory Decatur Hospital,8/20/2024 0:00,459182,13725,8/12/2024 0:00,Observation Unit,24,Female,Albany State University,BSN,3.245,Full-time,No,No,,,20604,1.616438356
Emory University Hospital,8/5/2024 0:00,2401326,13726,7/29/2024 0:00,Telemetry Unit,23,Female,Albany State University,BSN,3.75,Full-time,No,Yes,11/9/2025 0:00,Other/Unknown,20605,1.282191781
Emory Saint Joseph's Hospital,7/12/2024 0:00,471163,13727,7/15/2024 0:00,Medical/Surgical Inpatient Unit,44,Female,Albany State University,ADN/ASN,3.75,Full-time,No,No,,,20606,1.693150685
Emory University Hospital Midtown,4/5/2024 0:00,468927,13728,4/1/2024 0:00,Medical ICU Inpatient Unit,38,Female,Albany State University,ADN/ASN,2.745,Full-time,No,No,,,20607,1.980821918
Emory Johns Creek Hospital,2/22/2024 0:00,469487,13729,3/18/2024 0:00,Medical/Surgical Inpatient Unit,38,Female,Albany State University,ADN/ASN,3.245,Full-time,No,No,,,20608,2.019178082
Emory University Hospital Midtown,10/27/2023 0:00,430649,13730,10/1/2023 0:00,Orthopedic Inpatient Unit,38,Female,Albany State University,Diploma,3.245,Full-time,No,No,,,20609,2.482191781
Emory University Hospital Midtown,8/20/2025 0:00,476490,13731,7/28/2025 0:00,Perioperative OR,31,Male,Albany State University,ADN/ASN,3.245,Full-time,No,Yes,11/9/2025 0:00,Compensation/pay,20610,0.284931507
Emory University Hospital Midtown,4/1/2022 0:00,432057,13732,4/15/2022 0:00,Cardiac/Heart/Vascular Critical Care,40,Female,Albany State University,ADN/ASN,2.745,,No,No,,,20611,3.945205479
Emory University Hospital Midtown,10/29/2021 0:00,450712,13733,10/24/2021 0:00,Emergency Department,24,Female,Albany State University,ADN/ASN,3.245,,No,Yes,11/20/2022 0:00,Other/Unknown,20612,1.073972603
Emory Johns Creek Hospital,7/12/2024 0:00,473360,13734,8/19/2024 0:00,Neonatal ICU Inpatient Unit,22,Male,Albany State University,ADN/ASN,3.245,Full-time,No,Yes,10/31/2024 0:00,Other/Unknown,20613,0.2
Emory University Hospital,9/27/2021 0:00,2129959,13735,10/3/2021 0:00,Telemetry Unit,30,Female,Albany State University,ADN/ASN,3.245,,No,No,,,20614,4.476712329
Emory University Hospital Midtown,8/13/2021 0:00,445562,13736,2/28/2021 0:00,Orthopedic Inpatient Unit,31,Female,Albany State University,ADN/ASN,3.245,,No,Yes,1/18/2023 0:00,Unsatisfactory performance,20615,1.887671233
Emory Long Term Acute Care,10/13/2020 0:00,1451315,13737,10/5/2020 0:00,Medical/Surgical Intermediate Unit,30,Male,Albany State University,Accelerated BSN,3.75,,No,Yes,2/12/2023 0:00,Other/Unknown,20616,2.356164384
Emory University Hospital Midtown,4/1/2020 0:00,419873,13738,2/28/2020 0:00,Orthopedic Inpatient Unit,48,Female,Albany State University,ADN/ASN,2.745,Full-time,No,No,,,20617,6.073972603
Emory University Hospital,8/1/2019 0:00,2275291,13739,7/22/2019 0:00,Neurology/Neurosurgical ICU Inpatient Unit,25,Male,Albany State University,Accelerated BSN,3.75,,No,No,,,20618,6.679452055
Emory University Hospital,7/23/2018 0:00,425444,13740,,Mother/Baby Unit,24,Female,Albany State University,BSN,3.245,,No,No,,,20619,
Emory University Hospital,2/23/2018 0:00,417608,13741,,General Medical Inpatient Unit,23,Female,Albany State University,BSN,3.245,,No,No,,,20620,
Emory University Hospital,3/10/2014 0:00,639368,13742,,Medical/Surgical Inpatient Unit,25,Female,Albany State University,BSN,3.245,,No,No,,,20621,
Emory University Hospital Midtown,4/5/2024 0:00,2072378,13743,3/4/2024 0:00,Oncology Inpatient Unit,52,Female,Albany State University,ADN/ASN,2.745,Full-time,No,No,,,20622,2.057534247
Emory University Hospital at Wesley Woods,8/7/2023 0:00,464319,13744,8/24/2023 0:00,Psychiatric Inpatient Unit,22,Male,Alcorn State University,BSN,3.245,Full-time,No,Yes,7/15/2024 0:00,Other/Unknown,20623,0.893150685
Emory Decatur Hospital,8/15/2023 0:00,465005,13745,8/7/2023 0:00,Obstetrics/Labor & Delivery Inpatient Unit,34,Female,Alverno College,Masters,3.245,Full-time,No,No,,,20624,2.632876712
Emory University Hospital,2/23/2018 0:00,423388,13746,,Other (please specify),23,Female,Amstrong State University,BSN,3.245,,No,No,,,20625,
Emory University Hospital Midtown,4/7/2023 0:00,1933316,13747,1/30/2023 0:00,Medical/Surgical Inpatient Unit,28,Female,Anderran University,Accelerated BSN,3.245,Full-time,No,Yes,12/16/2023 0:00,Unhappy with job/facility,20626,0.876712329
Emory University Hospital,7/17/2017 0:00,419997,13748,,Obstetrics/Labor & Delivery Inpatient Unit,23,Female,Anderson University,BSN,3.245,,No,No,,,20627,
Emory Saint Joseph's Hospital,3/7/2016 0:00,526826,13749,,Medical/Surgical ICU Inpatient Unit,24,Female,Appalachian State,BSN,3.75,,No,Yes,4/24/2017 0:00,Other/Unknown,20628,
Emory University Hospital,7/30/2018 0:00,425400,13750,,Cardiac/Heart/Vascular Critical Care,21,Female,Appalachian State,BSN,3.75,,No,Yes,12/24/2020 0:00,Relocating out of area,20629,
Emory University Hospital,2/23/2018 0:00,419965,13751,,Cardiac/Heart/Vascular Critical Care,23,Male,Appalachian State,BSN,3.245,,No,No,,,20630,
Emory University Hospital,4/23/2025 0:00,475949,13752,1/21/2025 0:00,Cardiac/Heart/Vascular Critical Care,35,Female,Arizona State University,Masters,3.245,Full-time,No,No,,,20631,1.17260274
Emory University Hospital,10/23/2023 0:00,2290259,13753,10/9/2023 0:00,Medical/Surgical Intermediate Unit,24,Female,Arizona State University,BSN,3.75,Full-time,No,Yes,6/5/2025 0:00,Other/Unknown,20632,1.657534247
Emory University Hospital,11/3/2021 0:00,450543,13754,11/1/2021 0:00,Neurology/Neurosurgical ICU Inpatient Unit,33,Female,Arizona State University,BSN,3.245,,No,No,,,20633,4.397260274
Emory University Hospital,2/26/2019 0:00,2232294,13755,3/4/2019 0:00,Transplant Unit,34,Female,Arizona State University,BSN,3.75,,No,Yes,3/18/2021 0:00,Relocating out of area,20634,2.04109589
Emory University Hospital,10/15/2018 0:00,430752,13756,10/15/2018 0:00,Emergency Department,22,Male,Arkansas State University,Accelerated BSN,3.245,,No,No,,,20635,7.446575342
Emory Saint Joseph's Hospital,2/20/2017 0:00,329910,13757,2/20/2017 0:00,General Medical Inpatient Unit,32,Male,Armstong State University,BSN,3.245,,No,Yes,4/24/2019 0:00,Deceased,20636,2.17260274
Emory University Hospital,3/2/2015 0:00,101389,13758,,Medical/Surgical ICU Inpatient Unit,25,Female,Armstong State University,BSN,3.245,,No,No,,,20637,
Emory Saint Joseph's Hospital,7/14/2014 0:00,40599000,13759,,Medical/Surgical Inpatient Unit,22,Male,Armstong State University,BSN,3.245,,No,No,,,20638,
Emory University Hospital,3/10/2014 0:00,404335,13760,,Medical/Surgical ICU Inpatient Unit,30,Male,Armstong State University,BSN,3.245,,No,No,,,20639,
Emory Saint Joseph's Hospital,3/10/2014 0:00,40437800,13761,,Medical/Surgical Inpatient Unit,25,Female,Armstong State University,BSN,3.245,,No,No,,,20640,
Emory Saint Joseph's Hospital,3/10/2014 0:00,40438200,13762,,Medical/Surgical Inpatient Unit,25,Female,Armstong State University,BSN,3.245,,No,No,,,20641,
Emory Saint Joseph's Hospital,6/6/2011 0:00,24446,13763,,Medical/Surgical Inpatient Unit,25,Female,Armstong State University,BSN,3.245,,No,No,,,20642,
Emory University Hospital,3/10/2014 0:00,40433700,13764,,Medical/Surgical ICU Inpatient Unit,28,Male,Armstong State University,BSN,3.75,,No,No,,,20643,
Emory University Hospital,8/26/2013 0:00,2376,13765,,Medical/Surgical ICU Inpatient Unit,25,Female,Armstong State University,BSN,3.245,,No,No,,,20644,
Emory Saint Joseph's Hospital,7/17/2017 0:00,389833,13766,,Telemetry Unit,22,Female,Armstong State University,BSN,3.75,,No,No,,,20645,
Emory Saint Joseph's Hospital,11/2/2015 0:00,108226,13767,,Medical/Surgical ICU Inpatient Unit,24,Male,Armstong State University,BSN,3.75,,No,Yes,1/18/2016 0:00,Unsatisfactory performance,20646,
Emory Hillandale Hospital,3/22/2022 0:00,423389,13768,11/29/2021 0:00,Telemetry Unit,28,Female,Armstong State University,BSN,3.245,,No,No,,,20647,4.320547945
Emory University Hospital,7/30/2018 0:00,410561,13769,,Other (please specify),37,Female,Armstong State University,BSN,3.75,,No,No,,,20648,
Emory University Hospital,7/30/2018 0:00,425989,13770,,Neurology/Neurosurgical ICU Inpatient Unit,24,Female,Armstong State University,BSN,3.245,,No,No,,,20649,
Emory University Hospital,2/23/2018 0:00,422857,13771,2/23/2018 0:00,Perioperative OR,30,Male,Armstong State University,BSN,3.75,Full-time,No,No,,,20650,8.087671233
Emory University Hospital,7/18/2017 0:00,419658,13772,,General Surgical Inpatient Unit,22,Female,Armstong State University,BSN,3.245,,No,No,,,20651,
Emory University Hospital,7/18/2017 0:00,419940,13773,,Neurology/Neurosurgical ICU Inpatient Unit,29,Male,Armstong State University,BSN,3.245,,No,No,,,20652,
Emory University Hospital,7/17/2017 0:00,419960,13774,,Emergency Department,24,Female,Armstong State University,BSN,3.75,,No,Yes,1/21/2019 0:00,Other/Unknown,20653,
Emory University Hospital,7/17/2017 0:00,420555,13775,,Cardiac/Heart/Vascular Critical Care,26,Female,Armstong State University,BSN,3.245,,No,No,,,20654,
Emory University Hospital,2/26/2017 0:00,801886,13776,,Ambulatory Setting,30,Female,Armstong State University,BSN,3.245,,No,Yes,2/9/2020 0:00,Staffing or workload,20655,
Emory University Hospital,2/25/2017 0:00,933736,13777,,Neurology/Neurosurgical ICU Inpatient Unit,32,Female,Armstong State University,BSN,3.245,,No,No,,,20656,
Emory University Hospital,2/24/2017 0:00,170465,13778,,Orthopedic Inpatient Unit,21,Female,Armstong State University,BSN,3.245,,No,No,,,20657,
Emory University Hospital,4/22/2016 0:00,898119,13779,,Medical/Surgical ICU Inpatient Unit,23,Female,Armstong State University,BSN,3.75,,No,No,,,20658,
Emory University Hospital,4/15/2016 0:00,943674,13780,,Emergency Department,24,Male,Armstong State University,BSN,3.245,,No,No,,,20659,
Emory University Hospital,10/8/2015 0:00,410817,13781,,Medical/Surgical ICU Inpatient Unit,22,Female,Armstong State University,BSN,3.245,,No,No,,,20660,
Emory University Hospital,10/7/2015 0:00,410867,13782,,General Medical Inpatient Unit,23,Female,Armstong State University,BSN,3.245,,No,No,,,20661,
Emory University Hospital,10/5/2015 0:00,411008,13783,,General Surgical Inpatient Unit,22,Female,Armstong State University,BSN,3.245,,No,No,,,20662,
Emory Saint Joseph's Hospital,3/2/2015 0:00,40820500,13784,,Medical/Surgical Inpatient Unit,22,Female,Armstong State University,BSN,3.245,,No,No,,,20663,
Emory University Hospital,9/8/2014 0:00,406642,13785,,Medical/Surgical ICU Inpatient Unit,23,Female,Armstong State University,BSN,3.245,,No,No,,,20664,
Emory University Hospital,3/31/2014 0:00,40479300,13786,,General Medical Inpatient Unit,25,Female,Armstong State University,BSN,3.75,,No,No,,,20665,
Emory University Hospital,2/23/2018 0:00,423393,13787,,Medical/Surgical Inpatient Unit,24,Female,Armstrong University,BSN,3.75,,No,Yes,11/20/2020 0:00,Returning to school full-time,20666,
Emory University Hospital,8/21/2024 0:00,472176,13789,7/29/2024 0:00,Medical ICU Inpatient Unit,28,Female,Athens Technical College,ADN/ASN,3.75,Full-time,No,Yes,2/9/2025 0:00,Other/Unknown,20668,0.534246575
The Emory Clinic,8/18/2025 0:00,452364,13790,7/6/2025 0:00,Ambulatory Setting,35,Female,Atlanta Technical College,ADN/ASN,3.245,Full-time,No,No,,,20669,0.717808219
Emory University Hospital Midtown,10/28/2022 0:00,458638,13791,9/19/2022 0:00,Oncology Inpatient Unit,46,Female,Atlanta Technical College,ADN/ASN,3.245,Full-time,No,Yes,2/26/2023 0:00,Other/Unknown,20670,0.438356164
Emory University Hospital,10/28/2024 0:00,438358,13792,8/20/2024 0:00,General Medical Inpatient Unit,39,Female,Atlanta Technical College,ADN/ASN,2.245,Full-time,No,No,,,20671,1.594520548
Emory Hillandale Hospital,8/22/2024 0:00,472968,13793,8/12/2024 0:00,Medical/Surgical Inpatient Unit,30,Female,Atlanta Technical College,ADN/ASN,2.745,Full-time,No,No,,,20672,1.616438356
Emory University Hospital,8/5/2024 0:00,408670,13794,3/30/2015 0:00,Medical/Surgical Intermediate Unit,29,Female,Atlanta Technical College,ADN/ASN,3.245,Full-time,No,No,,,20673,10.99452055
Emory University Hospital,8/16/2023 0:00,444278,13795,7/31/2023 0:00,Surgical ICU Inpatient Unit,28,Female,Atlanta Technical College,ADN/ASN,3.245,Full-time,No,No,,,20674,2.652054795
Emory University Hospital Midtown,8/12/2022 0:00,2131947,13796,8/8/2022 0:00,Cardiac/Heart/Vascular Critical Care,24,Female,Atlanta Technical College,ADN/ASN,2.745,,No,No,,,20675,3.630136986
Emory Decatur Hospital,8/20/2024 0:00,428492,13797,8/20/2024 0:00,Emergency Department,31,Male,Atlanta Technical College,ADN/ASN,2.745,Full-time,No,Yes,8/14/2025 0:00,Unsatisfactory performance,20676,0.983561644
Emory University Hospital Midtown,8/9/2024 0:00,475356,13798,8/26/2024 0:00,Medical/Surgical Inpatient Unit,32,Male,Atlanta Technical College,ADN/ASN,3.245,Full-time,No,Yes,5/5/2025 0:00,Other/Unknown,20677,0.690410959
Emory Hillandale Hospital,8/26/2021 0:00,410978,13799,8/1/2021 0:00,Ambulatory Setting,24,Male,Atlanta Technical College,ADN/ASN,3.75,,No,No,,,20678,4.649315068
Emory University Hospital Midtown,8/1/2020 0:00,373691,13800,8/10/2020 0:00,Emergency Department,39,Female,Atlanta Technical College,ADN/ASN,3.245,,No,No,,,20679,5.624657534
The Emory Clinic,8/18/2025 0:00,479599,13801,8/18/2025 0:00,Ambulatory Setting,26,Female,Atlanta Technical College,ADN/ASN,2.745,Full-time,No,No,,,20680,0.6
Emory Saint Joseph's Hospital,10/24/2016 0:00,806788,13802,,Emergency Department,23,Female,Auburn University,BSN,3.245,,No,No,,,20681,
Emory Saint Joseph's Hospital,7/11/2016 0:00,870098,13803,,Emergency Department,22,Female,Auburn University,BSN,3.75,,No,No,,,20682,
Emory Saint Joseph's Hospital,11/2/2015 0:00,259573,13804,,Emergency Department,22,Female,Auburn University,BSN,3.245,,No,No,,,20683,
Emory Saint Joseph's Hospital,11/2/2015 0:00,296832,13805,,General Medical Inpatient Unit,24,Female,Auburn University U Montogomery,BSN,3.245,,No,No,,,20684,
Emory Saint Joseph's Hospital,7/10/2025 0:00,478706,13806,8/8/2025 0:00,Cardiac/Heart/Vascular Critical Care,22,Female,Auburn University,Accelerated BSN,3.245,Full-time,No,No,,,20685,0.62739726
Emory University Hospital,4/2/2025 0:00,477997,13807,4/28/2025 0:00,Oncology Inpatient Unit,23,Female,Auburn University,BSN,3.245,Full-time,No,No,,,20686,0.906849315
Emory University Hospital,8/21/2024 0:00,472202,13808,7/29/2024 0:00,Surgical ICU Inpatient Unit,23,Female,Auburn University,BSN,3.245,Full-time,No,No,,,20687,1.654794521
Emory University Hospital,8/16/2023 0:00,464311,13809,7/24/2023 0:00,Emergency Department,22,Female,Auburn University,BSN,3.245,Full-time,No,No,,,20688,2.671232877
Emory Saint Joseph's Hospital,10/17/2022 0:00,460171,13810,11/28/2022 0:00,Cardiac/Heart/Vascular Critical Care,22,Female,Auburn University,BSN,3.245,,No,No,,,20689,3.323287671
Emory University Hospital,10/14/2022 0:00,458239,13811,9/19/2022 0:00,Cardiac/Heart/Vascular Critical Care,22,Female,Auburn University,BSN,3.75,,No,No,,,20690,3.515068493
Emory University Hospital,8/17/2022 0:00,457433,13812,8/1/2022 0:00,Medical ICU Inpatient Unit,22,Female,Auburn University,BSN,3.75,,No,No,,,20691,3.649315068
Emory University Hospital,11/3/2021 0:00,449932,13813,9/20/2021 0:00,Surgical ICU Inpatient Unit,22,Female,Auburn University,BSN,3.75,,No,Yes,3/5/2023 0:00,Other/Unknown,20692,1.454794521
Emory Saint Joseph's Hospital,10/18/2021 0:00,450393,13814,10/18/2021 0:00,Emergency Department,22,Female,Auburn University,BSN,3.75,,No,No,,,20693,4.435616438
Emory University Hospital,8/18/2021 0:00,441659,13815,7/19/2021 0:00,Neurology/Neurosurgical ICU Inpatient Unit,23,Female,Auburn University,BSN,3.75,,No,Yes,7/29/2023 0:00,Compensation/pay,20694,2.02739726
Emory Johns Creek Hospital,7/12/2021 0:00,448772,13816,7/19/2021 0:00,Obstetrics/Labor & Delivery Inpatient Unit,23,Female,Auburn University,BSN,3.245,Full-time,No,Yes,2/17/2024 0:00,Other/Unknown,20695,2.583561644
Emory University Hospital,11/6/2020 0:00,442994,13817,9/28/2020 0:00,Medical ICU Inpatient Unit,23,Female,Auburn University,BSN,3.245,Full-time,No,No,,,20696,5.490410959
Emory Saint Joseph's Hospital,11/6/2020 0:00,443255,13818,10/19/2020 0:00,Perioperative OR,21,Female,Auburn University,BSN,3.75,Full-time,No,No,,,20697,5.432876712
Emory University Hospital Midtown,10/30/2020 0:00,443544,13819,10/26/2020 0:00,Medical ICU Inpatient Unit,22,Female,Auburn University,BSN,3.75,,No,No,,,20698,5.41369863
Emory Saint Joseph's Hospital,10/12/2020 0:00,443087,13820,10/12/2020 0:00,Medical/Surgical Intermediate Unit,22,Female,Auburn University,BSN,3.75,,No,Yes,6/20/2022 0:00,Family obligations (family/friend caregiving responsibility),20699,1.687671233
Emory Saint Joseph's Hospital,10/12/2020 0:00,443092,13821,10/12/2020 0:00,Cardiac/Heart/Vascular Critical Care,22,Male,Auburn University,BSN,3.75,,No,Yes,5/2/2023 0:00,Other/Unknown,20700,2.553424658
Emory University Hospital,10/24/2019 0:00,437795,13822,10/21/2019 0:00,Neurology/Neurosurgical ICU Inpatient Unit,22,Female,Auburn University,BSN,3.75,,No,Yes,9/25/2021 0:00,Travel Nurse,20701,1.931506849
Emory University Hospital,10/24/2019 0:00,437849,13823,10/21/2019 0:00,Neurology/Neurosurgical ICU Inpatient Unit,23,Female,Auburn University,BSN,3.245,,No,Yes,10/2/2022 0:00,Compensation/pay,20702,2.950684932
Emory University Hospital,10/24/2019 0:00,437851,13824,10/21/2019 0:00,Medical ICU Inpatient Unit,22,Female,Auburn University,BSN,3.245,,No,No,,,20703,6.430136986
Emory Johns Creek Hospital,10/14/2019 0:00,825026,13825,10/28/2019 0:00,General Medical Inpatient Unit,22,Female,Auburn University,BSN,3.245,,No,Yes,3/25/2022 0:00,Other/Unknown,20704,2.408219178
Emory University Hospital,8/1/2019 0:00,435931,13826,7/22/2019 0:00,Neurology/Neurosurgical ICU Inpatient Unit,22,Female,Auburn University,BSN,3.75,,No,Yes,10/30/2021 0:00,Travel Nurse,20705,2.276712329
Emory University Hospital,8/1/2019 0:00,435939,13827,7/22/2019 0:00,Cardiac/Heart/Vascular Critical Care,22,Female,Auburn University,BSN,3.75,,No,No,,,20706,6.679452055
Emory University Hospital,8/1/2019 0:00,435954,13828,7/22/2019 0:00,Neurology/Neurosurgical ICU Inpatient Unit,22,Female,Auburn University,BSN,3.75,,No,Yes,9/8/2021 0:00,Travel Nurse,20707,2.134246575
Emory University Hospital Midtown,7/25/2019 0:00,436526,13829,7/29/2019 0:00,Medical/Surgical Intermediate Unit,22,Female,Auburn University,BSN,3.75,,No,No,,,20708,6.660273973
Emory Saint Joseph's Hospital,7/15/2019 0:00,2183268,13830,7/15/2019 0:00,Cardiac/Heart/Vascular Critical Care,22,Female,Auburn University,BSN,3.75,Full-time,No,Yes,8/5/2020 0:00,Relocating out of area,20709,1.060273973
Emory University Hospital,10/16/2018 0:00,430097,13831,10/15/2018 0:00,Emergency Department,22,Female,Auburn University,BSN,3.245,,No,No,,,20710,7.446575342
Emory University Hospital,10/16/2018 0:00,430562,13832,10/15/2018 0:00,Emergency Department,22,Female,Auburn University,BSN,3.75,,No,Yes,12/29/2019 0:00,Relocating out of area,20711,1.205479452
Emory University Hospital,10/16/2018 0:00,430567,13833,10/15/2018 0:00,Neurology/Neurosurgical ICU Inpatient Unit,22,Female,Auburn University,BSN,3.245,,No,No,,,20712,7.446575342
Emory University Hospital,10/16/2018 0:00,2270942,13834,10/15/2018 0:00,Orthopedic Inpatient Unit,22,Female,Auburn University,BSN,3.245,,No,No,,,20713,7.446575342
Emory University Hospital,10/15/2018 0:00,430740,13835,10/15/2018 0:00,Surgical ICU Inpatient Unit,22,Female,Auburn University,BSN,3.75,,No,No,,,20714,7.446575342
Emory University Hospital,7/23/2018 0:00,425285,13836,,Medical/Surgical ICU Inpatient Unit,22,Female,Auburn University,BSN,3.75,,No,No,,,20715,
Emory University Hospital,2/23/2018 0:00,423507,13837,,Neonatal ICU Inpatient Unit,22,Female,Auburn University,BSN,3.75,,No,Yes,5/26/2019 0:00,Other/Unknown,20716,
Emory University Hospital,7/18/2017 0:00,419938,13838,,Medical/Surgical Inpatient Unit,26,Female,Auburn University,BSN,2.745,,No,No,,,20717,
Emory University Hospital,7/18/2017 0:00,419941,13839,,Emergency Department,22,Female,Auburn University,BSN,3.245,,No,Yes,4/4/2019 0:00,Other/Unknown,20718,
Emory University Hospital,7/18/2017 0:00,419942,13840,,Medical/Surgical Inpatient Unit,23,Female,Auburn University,BSN,3.75,,No,No,,,20719,
Emory University Hospital,7/18/2017 0:00,2018366,13841,,Neurology/Neurosurgical ICU Inpatient Unit,22,Female,Auburn University,BSN,3.75,,No,No,,,20720,
Emory University Hospital,2/25/2017 0:00,207928,13842,,Medical/Surgical ICU Inpatient Unit,23,Female,Auburn University,BSN,3.245,,No,No,,,20721,
Emory University Hospital,10/13/2016 0:00,415472,13843,,Neurology/Neurosurgical ICU Inpatient Unit,22,Female,Auburn University,BSN,3.245,,No,No,,,20722,
Emory University Hospital,10/13/2016 0:00,415511,13844,,Neurology/Neurosurgical ICU Inpatient Unit,22,Female,Auburn University,BSN,3.245,,No,No,,,20723,
Emory University Hospital,10/10/2016 0:00,2230009,13845,,Newborn Nursery,23,Female,Auburn University,BSN,3.245,,No,No,,,20724,
